DataAcc,SpecAcc,Age,RunID,ZTime,gtype,light,temp,sampleID,header_,ZTime_int,fname_,date,genome,tophatOpt,trimmoOpt,type,bname,sampleCode,mapped_reads,total_reads,runID
177RS23,Ath,unknown,177R,ZT12,Q7-17,,22C,S23,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-760-Q7-17-ZT12-22C_S23_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-17349977-d8c5-4563-abf2-efc123cabe4f_output-folder/star_out/177R-760-Q7-17-ZT12-22C_S23.fastq.gz/read_counts.tsv,,,,,,177R-760-Q7-17-ZT12-22C_S23,760,8811228.0,12662031.0,177R
177RS24,Ath,unknown,177R,ZT12,Q21-7,,22C,S24,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-761-Q21-7-ZT12-22C_S24_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-155696aa-c43f-46f3-9f54-dbace57fb79b_output-folder/star_out/177R-761-Q21-7-ZT12-22C_S24.fastq.gz/read_counts.tsv,,,,,,177R-761-Q21-7-ZT12-22C_S24,761,25649275.0,30421351.0,177R
178RS1,Ath,unknown,178R,ZT8,ELF3,,22C,S1,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-721-elf3-1-ZT8-22C_S1_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-5dedeca2-57de-40e1-b787-4f4d99b085c0_output-folder/star_out/178R-721-elf3-1-ZT8-22C_S1.fastq.gz/read_counts.tsv,,,,,,178R-721-elf3-1-ZT8-22C_S1,721,11895018.0,13730348.0,178R
178RS2,Ath,unknown,178R,ZT8,ELF4,,22C,S2,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-722-elf4-2-ZT8-22C_S2_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-e10f8e72-04b6-4e26-8143-8b75eea5dbd6_output-folder/star_out/178R-722-elf4-2-ZT8-22C_S2.fastq.gz/read_counts.tsv,,,,,,178R-722-elf4-2-ZT8-22C_S2,722,13003363.0,14569050.0,178R
178RS3,Ath,unknown,178R,ZT8,ELF4-OX,,22C,S3,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-723-ELF4-ox-1462-ZT8-22C_S3_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-bacba17d-d8c7-4564-bc00-18fd8e7981ac_output-folder/star_out/178R-723-ELF4-ox-1462-ZT8-22C_S3.fastq.gz/read_counts.tsv,,,,,,178R-723-ELF4-ox-1462-ZT8-22C_S3,723,14199112.0,15221086.0,178R
178RS4,Ath,unknown,178R,ZT8,ELF3 X ELF4-OX,,22C,S4,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-724-elf3-1-x-ELF4-ox-1463-ZT8-22C_S4_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-6e11ee3d-b791-4043-aa14-e87af273edcc_output-folder/star_out/178R-724-elf3-1-x-ELF4-ox-1463-ZT8-22C_S4.fastq.gz/read_counts.tsv,,,,,,178R-724-elf3-1-x-ELF4-ox-1463-ZT8-22C_S4,724,9740934.0,10626741.0,178R
178RS5,Ath,unknown,178R,ZT8,ELF3-OX AT,,22C,S5,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-725-ELF3-ox-1480-ZT8-22C_S5_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-9f776e4f-0424-411f-8f71-d8118567b399_output-folder/star_out/178R-725-ELF3-ox-1480-ZT8-22C_S5.fastq.gz/read_counts.tsv,,,,,,178R-725-ELF3-ox-1480-ZT8-22C_S5,725,9344606.0,11269861.0,178R
178RS6,Ath,unknown,178R,ZT8,ELF4 X ELF3-OX,,22C,S6,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-726-elf4-2-x-ELF3-ox-1481-ZT8-22C_S6_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-048d5b60-f191-459a-b00f-9774298b1358_output-folder/star_out/178R-726-elf4-2-x-ELF3-ox-1481-ZT8-22C_S6.fastq.gz/read_counts.tsv,,,,,,178R-726-elf4-2-x-ELF3-ox-1481-ZT8-22C_S6,726,13945673.0,14865249.0,178R
178RS7,Ath,unknown,178R,ZT8,ELF3,,27C,S7,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-727-elf3-1-ZT8-27C_S7_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-e398f6b6-d25b-4549-ac65-5bce1a66ad2f_output-folder/star_out/178R-727-elf3-1-ZT8-27C_S7.fastq.gz/read_counts.tsv,,,,,,178R-727-elf3-1-ZT8-27C_S7,727,9497311.0,10487622.0,178R
178RS8,Ath,unknown,178R,ZT8,ELF4,,27C,S8,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-728-elf4-2-ZT8-27C_S8_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-a2f56dcf-be62-4c36-854e-ed3c59ddac36_output-folder/star_out/178R-728-elf4-2-ZT8-27C_S8.fastq.gz/read_counts.tsv,,,,,,178R-728-elf4-2-ZT8-27C_S8,728,11474315.0,12508681.0,178R
178RS9,Ath,unknown,178R,ZT8,ELF4-OX,,27C,S9,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-729-ELF4-ox-1462-ZT8-27C_S9_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1b660d74-413f-40f3-9ca3-bcb678c46354_output-folder/star_out/178R-729-ELF4-ox-1462-ZT8-27C_S9.fastq.gz/read_counts.tsv,,,,,,178R-729-ELF4-ox-1462-ZT8-27C_S9,729,25103395.0,27026267.0,178R
178RS10,Ath,unknown,178R,ZT8,ELF3 X ELF4-OX,,27C,S10,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-730-elf3-1-x-ELF4-ox-1463-ZT8-27C_S10_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-e4266977-aa66-426f-9bfc-82c371f1f000_output-folder/star_out/178R-730-elf3-1-x-ELF4-ox-1463-ZT8-27C_S10.fastq.gz/read_counts.tsv,,,,,,178R-730-elf3-1-x-ELF4-ox-1463-ZT8-27C_S10,730,16608001.0,18364449.0,178R
178RS11,Ath,unknown,178R,ZT8,ELF3-OX AT,,27C,S11,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-731-ELF3-ox-1480-ZT8-27C_S11_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ea7f7413-0b95-4730-b5bf-97b870796ba3_output-folder/star_out/178R-731-ELF3-ox-1480-ZT8-27C_S11.fastq.gz/read_counts.tsv,,,,,,178R-731-ELF3-ox-1480-ZT8-27C_S11,731,23342511.0,24916947.0,178R
178RS12,Ath,unknown,178R,ZT8,ELF4 X ELF3-OX,,27C,S12,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-732-elf4-2-x-ELF3-ox-1481-ZT8-27C_S12_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-8fd8d111-fde3-4317-b3ca-505a3f82c2ea_output-folder/star_out/178R-732-elf4-2-x-ELF3-ox-1481-ZT8-27C_S12.fastq.gz/read_counts.tsv,,,,,,178R-732-elf4-2-x-ELF3-ox-1481-ZT8-27C_S12,732,14278840.0,15433435.0,178R
178RS14,Ath,unknown,178R,ZT12,ELF4,,22C,S14,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-734-elf4-2-ZT12-22C_S14_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-f21ab8ca-94d7-4fe2-bbe4-5be3e3b92b40_output-folder/star_out/178R-734-elf4-2-ZT12-22C_S14.fastq.gz/read_counts.tsv,,,,,,178R-734-elf4-2-ZT12-22C_S14,734,21173507.0,23160645.0,178R
178RS15,Ath,unknown,178R,ZT12,ELF4-OX,,22C,S15,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-735-ELF4-ox-1462-ZT12-22C_S15_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-eddf2c62-541e-4bdc-8405-0fca9fb6fb34_output-folder/star_out/178R-735-ELF4-ox-1462-ZT12-22C_S15.fastq.gz/read_counts.tsv,,,,,,178R-735-ELF4-ox-1462-ZT12-22C_S15,735,14091210.0,15237802.0,178R
178RS16,Ath,unknown,178R,ZT12,ELF3 X ELF4-OX,,22C,S16,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-736-elf3-1-x-ELF4-ox-1463-ZT12-22C_S16_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-7a6d125d-36f5-46fc-bff1-48aed902137e_output-folder/star_out/178R-736-elf3-1-x-ELF4-ox-1463-ZT12-22C_S16.fastq.gz/read_counts.tsv,,,,,,178R-736-elf3-1-x-ELF4-ox-1463-ZT12-22C_S16,736,14716427.0,16177064.0,178R
178RS17,Ath,unknown,178R,ZT12,Q21-23,,22C,S17,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-762-Q21-23-ZT12-22C_S17_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-f6e8aa22-b99e-47b4-9679-bd23b835941f_output-folder/star_out/178R-762-Q21-23-ZT12-22C_S17.fastq.gz/read_counts.tsv,,,,,,178R-762-Q21-23-ZT12-22C_S17,762,13198542.0,17982732.0,178R
178RS18,Ath,unknown,178R,ZT12,Q0-2,,27C,S18,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-763-Q0-2-ZT12-27C_S18_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-f7e9cec9-9516-4954-9349-9165f307ed6a_output-folder/star_out/178R-763-Q0-2-ZT12-27C_S18.fastq.gz/read_counts.tsv,,,,,,178R-763-Q0-2-ZT12-27C_S18,763,12636108.0,15504944.0,178R
178RS19,Ath,unknown,178R,ZT8,Q0-15,,22C,S19,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-746-Q0-15-ZT8-22C_S19_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-6624c5c9-5f0d-4535-8d52-24bcb37598ff_output-folder/star_out/178R-746-Q0-15-ZT8-22C_S19.fastq.gz/read_counts.tsv,,,,,,178R-746-Q0-15-ZT8-22C_S19,746,14933183.0,16363117.0,178R
178RS20,Ath,unknown,178R,ZT12,Q7-6,,27C,S20,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-765-Q7-6-ZT12-27C_S20_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-8904d7e1-43d4-40de-a196-ca331f543dfd_output-folder/star_out/178R-765-Q7-6-ZT12-27C_S20.fastq.gz/read_counts.tsv,,,,,,178R-765-Q7-6-ZT12-27C_S20,765,7150372.0,9914627.0,178R
178RS22,Ath,unknown,178R,ZT12,Q21-7,,27C,S22,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-767-Q21-7-ZT12-27C_S22_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-7d1b685d-2ceb-4da4-bdae-d5a284d59ec6_output-folder/star_out/178R-767-Q21-7-ZT12-27C_S22.fastq.gz/read_counts.tsv,,,,,,178R-767-Q21-7-ZT12-27C_S22,767,12063727.0,15680249.0,178R
178RS23,Ath,unknown,178R,ZT12,Q21-23,,27C,S23,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-768-Q21-23-ZT12-27C_S23_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-9d821114-355f-40d4-9464-29ed0bd714cd_output-folder/star_out/178R-768-Q21-23-ZT12-27C_S23.fastq.gz/read_counts.tsv,,,,,,178R-768-Q21-23-ZT12-27C_S23,768,8256163.0,11875986.0,178R
178RS24,Ath,unknown,178R,ZT8,Q21-23,,22C,S24,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-750-Q21-23-ZT8-22C_S24_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b8469896-cb06-4545-90aa-d7fb9209d4ed_output-folder/star_out/178R-750-Q21-23-ZT8-22C_S24.fastq.gz/read_counts.tsv,,,,,,178R-750-Q21-23-ZT8-22C_S24,750,15159655.0,17651509.0,178R
181RS1,Ath,unknown,181R,ZT8,ELF3-OX POTATO,,22C,S1,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-849-4195-ZT8-22C_S1_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ba346419-9160-44cd-8c8a-d097efcd9ab6_output-folder/star_out/181R-Q-849-4195-ZT8-22C_S1.fastq.gz/read_counts.tsv,,,,,,181R-Q-849-4195-ZT8-22C_S1,849,15326745.0,16288690.0,181R
181RS2,Ath,unknown,181R,ZT8,ELF3-OX BD,,22C,S2,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-850-4196-ZT8-22C_S2_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-dfeeab89-7797-41e4-83fa-07f727dcdf0a_output-folder/star_out/181R-Q-850-4196-ZT8-22C_S2.fastq.gz/read_counts.tsv,,,,,,181R-Q-850-4196-ZT8-22C_S2,850,7803782.0,8248133.0,181R
183RS1,Ath,unknown,183R,ZT8,ELF3,,12C,S1,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-elf3-ZT8-12C_S1_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-3ce9a5eb-61a6-410f-b053-5ddcd1362fd7_output-folder/star_out/183RQ-elf3-ZT8-12C_S1.fastq.gz/read_counts.tsv,,,,,,183RQ-elf3-ZT8-12C_S1,,27384074.0,30644638.0,183R
183RS2,Ath,unknown,183R,ZT8,COL,,12C,S2,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-Col-ZT8-12C_S2_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b4a8dc1c-4f9f-4ec5-9e59-98a6b0820a62_output-folder/star_out/183RQ-Col-ZT8-12C_S2.fastq.gz/read_counts.tsv,,,,,,183RQ-Col-ZT8-12C_S2,,18638075.0,20969215.0,183R
183RS3,Ath,unknown,183R,ZT8,Q0-15,,12C,S3,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-Q0-15-ZT8-12C_S3_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-61b2d640-25a5-4eaa-bef0-765a74c3ff64_output-folder/star_out/183RQ-Q0-15-ZT8-12C_S3.fastq.gz/read_counts.tsv,,,,,,183RQ-Q0-15-ZT8-12C_S3,,20127243.0,23037076.0,183R
